offer,date_time,conversion_ip,source,sub_id_1,sub_id_2,sub_id_3,sub_id_4,sub_id_5,payout,status
1346 API_USD,2016-05-09 14:58:56,198.232.218.254,,,,,,wwcn-10375,1.8,approved
1346 API_USD,2016-05-09 14:56:57,198.232.218.254,,,,,,wwcn-4269,1.8,approved
1346 API_USD,2016-05-09 14:54:01,198.232.218.254,,,,,,wwcn-8147,1.8,approved
1346 API_USD,2016-05-09 14:53:10,198.232.218.254,,,,,,wwcn-9301,1.8,approved
1346 API_USD,2016-05-09 14:48:59,198.232.218.254,,,,,,wwcn-414879,1.8,approved
1346 API_USD,2016-05-09 14:45:32,198.232.218.254,,,,,,wwcn-346034,1.8,approved
1346 API_USD,2016-05-09 14:45:11,198.232.218.254,,,,,,wwcn-4932,1.8,approved
1346 API_USD,2016-05-09 14:30:40,198.232.218.254,,,,,,wwcn-15325,1.8,approved
1346 API_USD,2016-05-09 14:22:42,198.232.218.254,,,,,,wwcn-1841,1.8,approved
1346 API_USD,2016-05-09 14:20:02,198.232.218.254,,,,,,wwcn-9580,1.8,approved
1346 API_USD,2016-05-09 14:18:19,198.232.218.254,,,,,,wwcn-393659,1.8,approved
1346 API_USD,2016-05-09 14:15:29,198.232.218.254,,,,,,wwcn-405063,1.8,approved
1346 API_USD,2016-05-09 14:09:01,198.232.218.254,,,,,,wwcn-6738,1.8,approved
1346 API_USD,2016-05-09 14:06:35,198.232.218.254,,,,,,wwcn-330685,1.8,approved
1346 API_USD,2016-05-09 14:02:36,198.232.218.254,,,,,,wwcn-19067,1.8,approved
1346 API_USD,2016-05-09 14:01:38,198.232.218.254,,,,,,wwcn-19775,1.8,approved
1346 API_USD,2016-05-09 13:56:16,198.232.218.254,,,,,,wwcn-417529,1.8,approved
1346 API_USD,2016-05-09 13:34:57,198.232.218.254,,,,,,wwcn-5535,1.8,approved
1346 API_USD,2016-05-09 13:31:44,198.232.218.254,,,,,,wwcn-5535,1.8,approved
1346 API_USD,2016-05-09 13:26:23,198.232.218.254,,,,,,wwcn-407437,1.8,approved
1346 API_USD,2016-05-09 13:19:24,198.232.218.254,,,,,,wwcn-36034,1.8,approved
1346 API_USD,2016-05-09 13:16:41,198.232.218.254,,,,,,wwcn-3914,1.8,approved
1346 API_USD,2016-05-09 13:05:37,198.232.218.254,,,,,,wwcn-4764,1.8,approved
1346 API_USD,2016-05-09 13:05:09,198.232.218.254,,,,,,wwcn-37482,1.8,approved
1346 API_USD,2016-05-09 12:52:59,198.232.218.254,,,,,,wwcn-9291,1.8,approved
1346 API_USD,2016-05-09 12:48:46,198.232.218.254,,,,,,wwcn-412238,1.8,approved
1346 API_USD,2016-05-09 12:41:34,198.232.218.254,,,,,,wwcn-411743,1.8,approved
1346 API_USD,2016-05-09 12:39:48,198.232.218.254,,,,,,wwcn-415470,1.8,approved
1346 API_USD,2016-05-09 12:39:11,198.232.218.254,,,,,,wwcn-387439,1.8,approved
1346 API_USD,2016-05-09 12:37:31,198.232.218.254,,,,,,wwcn-417496,1.8,approved
1346 API_USD,2016-05-09 12:36:48,198.232.218.254,,,,,,wwcn-350768,1.8,approved
1346 API_USD,2016-05-09 12:35:12,198.232.218.254,,,,,,wwcn-32060,1.8,approved
1346 API_USD,2016-05-09 12:32:22,198.232.218.254,,,,,,wwcn-8299,1.8,approved
1346 API_USD,2016-05-09 12:29:59,198.232.218.254,,,,,,wwcn-382996,1.8,approved
1346 API_USD,2016-05-09 12:29:47,198.232.218.254,,,,,,wwcn-177003,1.8,approved
1346 API_USD,2016-05-09 12:26:05,198.232.218.254,,,,,,wwcn-5479,1.8,approved
1346 API_USD,2016-05-09 12:25:17,198.232.218.254,,,,,,wwcn-22798,1.8,approved
1346 API_USD,2016-05-09 12:22:33,198.232.218.254,,,,,,wwcn-386063,1.8,approved
