"活动ID","活动名称","网站ID","网站名称","下单时间","订单编号","商品类别","商品编号","收订订单数","收订订单金额","确认时间","有效订单数","有效订单金额","业绩状态","业绩类型","预计佣金","确认佣金","反馈标签","是否超级返推广"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-05 00:00:00","C01-7842342-3279863'","基本","B00NV3UQIY","1","139.00000","2015-02-03 10:58:02","1","90.52000","有效","正常","0.69500","0.69500","1068052","否"
"254","京东CPS","732204","购物客91jili","2014-10-05 10:19:00","1933895261'","0","","1","23.70000","2015-02-27 16:27:02","0","0.00000","无效","正常","0.00000","0.0000","1061304","否"
"254","京东CPS","732204","购物客91jili","2014-10-05 10:19:00","1933895257'","0","","1","29.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","0.00000","0.0000","1061304","否"
"254","京东CPS","732204","购物客91jili","2014-10-05 10:19:00","1933813803'","0","","1","52.70000","2015-02-27 16:27:02","0","0.00000","无效","正常","0.00000","0.0000","1061304","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-05 10:49:41","702102152-3'","O","26082067","1","49.00000","2015-01-28 13:24:50","0","0.00000","无效","正常","0.58800","0.0000","1083129","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-05 10:49:41","702102152-2'","O","26082067","1","49.00000","2015-01-28 13:24:50","0","0.00000","无效","正常","0.58800","0.0000","1083129","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-05 10:49:41","702102152-1'","O","26082067","1","49.00000","2015-01-28 13:24:50","0","0.00000","无效","正常","0.58800","0.0000","1083129","否"
"254","京东CPS","732204","购物客91jili","2014-10-05 11:36:20","1934090749'","7","","1","78.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","1.63800","0.0000","1052399","否"
"4018","唯品会CPS","732204","购物客91jili","2014-10-05 11:52:08","14100530722280'","2","0SYB002W2-18","1","39.00000","2015-02-28 16:04:31","0","0.00000","无效","正常","0.54600","0.0000","1085445","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-05 12:12:45","702402133-1'","O","10488341","1","30.80000","2015-01-28 13:24:50","0","0.00000","无效","正常","0.36960","0.0000","1083129","否"
"297","携程旅行网CPS","732204","购物客91jili","2014-10-05 15:18:24","1118635270'","PKG","","1","2162.00000","2014-11-29 13:59:50","1","2162.00000","有效","正常","38.91600","38.91600","1060988","否"
"249","红孩子CPS","732204","购物客91jili","2014-10-05 15:41:35","8009896088'","母婴","8057752146","1","128.00000","2015-01-12 15:29:15","0","0.00000","无效","正常","1.79200","0.0000","1080043","否"
"139","1号店CPS","732204","购物客91jili","2014-10-05 19:44:39","1100436484369'","8002","","1","57.80000","2014-12-23 11:59:37","1","57.80000","有效","正常","0.57800","0.57800","1081303","否"
"139","1号店CPS","732204","购物客91jili","2014-10-05 19:44:39","1100436484369'","8070","","1","10.90000","2014-12-23 11:59:37","1","10.90000","有效","正常","0.31060","0.31060","1081303","否"
"139","1号店CPS","732204","购物客91jili","2014-10-05 19:44:39","1100436484369'","8060","","1","41.20000","2014-12-23 11:59:37","1","41.20000","有效","正常","1.15360","1.15360","1081303","否"
"139","1号店CPS","732204","购物客91jili","2014-10-05 20:26:56","1100748133374'","8030","","1","190.00000","2015-01-04 11:56:06","0","0.00000","无效","正常","1.90000","0.0000","1104959","否"
"139","1号店CPS","732204","购物客91jili","2014-10-05 20:26:56","1100748133374'","8020","","1","280.00000","2014-12-23 11:59:37","1","216.00000","有效","正常","6.02000","4.64400","1104959","否"
"139","1号店CPS","732204","购物客91jili","2014-10-05 20:26:56","1100748133374'","8002","","1","294.00000","2014-12-23 11:59:37","1","294.00000","有效","正常","2.94000","2.94000","1104959","否"
"139","1号店CPS","732204","购物客91jili","2014-10-05 20:26:56","1100748133374'","8830","","1","239.76000","2015-01-04 11:56:06","0","0.00000","无效","正常","0.83920","0.0000","1104959","否"
"139","1号店CPS","732204","购物客91jili","2014-10-05 20:26:56","1100748133374'","8050","","1","160.40000","2014-12-23 11:59:37","1","160.40000","有效","正常","3.36840","3.36840","1104959","否"
"6951","1号商城CPS","732204","购物客91jili","2014-10-05 20:26:56","1100748133374'","8020","","1","280.00000","2014-12-23 13:42:23","1","64.00000","有效","正常","3.92000","0.89600","1104959","否"
"6951","1号商城CPS","732204","购物客91jili","2014-10-05 20:26:56","1100748133374'","8002","","1","294.00000","2015-01-04 11:58:20","0","0.00000","无效","正常","2.94000","0.0000","1104959","否"
"6951","1号商城CPS","732204","购物客91jili","2014-10-05 20:26:56","1100748133374'","8030","","1","190.00000","2014-12-23 13:42:23","1","190.00000","有效","正常","2.66000","2.66000","1104959","否"
"6951","1号商城CPS","732204","购物客91jili","2014-10-05 20:26:56","1100748133374'","8830","","1","239.76000","2014-12-23 13:42:23","1","239.76000","有效","正常","1.67830","1.67830","1104959","否"
"6951","1号商城CPS","732204","购物客91jili","2014-10-05 20:26:56","1100748133374'","8050","","1","160.40000","2015-01-04 11:58:20","0","0.00000","无效","正常","2.24560","0.0000","1104959","否"
"139","1号店CPS","732204","购物客91jili","2014-10-05 21:43:49","1101451445783'","8002","","1","79.00000","2014-12-23 11:59:37","1","79.00000","有效","正常","0.79000","0.79000","1098739","否"
"4018","唯品会CPS","732204","购物客91jili","2014-10-05 22:34:00","14100582998545'","1","333612050099","1","9.26000","2014-11-29 20:09:51","1","9.26000","有效","正常","0.06480","0.06480","1083129","否"
"4018","唯品会CPS","732204","购物客91jili","2014-10-05 22:34:00","14100582998545'","1","533104545232","1","303.18000","2014-11-29 20:09:51","1","303.18000","有效","正常","2.12230","2.12230","1083129","否"
"4018","唯品会CPS","732204","购物客91jili","2014-10-05 22:34:00","14100582998545'","1","544130555934","1","370.56000","2014-11-29 20:09:51","1","370.56000","有效","正常","2.59390","2.59390","1083129","否"
"4018","唯品会CPS","732204","购物客91jili","2014-10-05 22:34:01","14100582998545'","2","544130555934","1","488.00000","2015-02-28 16:04:31","0","0.00000","无效","正常","6.83200","0.0000","1083129","否"
"4018","唯品会CPS","732204","购物客91jili","2014-10-05 22:34:01","14100582998545'","2","533104545232","1","399.00000","2015-02-28 16:04:31","0","0.00000","无效","正常","5.58600","0.0000","1083129","否"
"4018","唯品会CPS","732204","购物客91jili","2014-10-05 22:34:01","14100582998545'","2","333612050099","1","12.00000","2015-02-28 16:04:31","0","0.00000","无效","正常","0.16800","0.0000","1083129","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-06 00:00:00","C01-9614470-3197417'","基本","B00F3B3X4Q","3","156.99000","2015-02-03 14:19:50","3","156.99000","无效","正常","1.57500","0.0000","APIMemberId","否"
"254","京东CPS","732204","购物客91jili","2014-10-06 10:04:59","1936322601'","5","","1","49.00000","2014-11-28 19:15:39","1","49.00000","有效","正常","0.58800","0.58800","1241613","否"
"249","红孩子CPS","732204","购物客91jili","2014-10-06 10:41:49","1010827906'","母婴","1059817027","1","99.00000","2015-01-12 15:29:15","0","0.00000","无效","正常","1.38600","0.0000","1093537","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-06 14:41:20","705599310-1'","O","26113825","1","38.00000","2014-11-29 10:37:43","1","38.00000","有效","正常","0.45600","0.45600","1097169","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-06 14:41:20","705599310-2'","O","26113825","1","38.00000","2014-11-29 10:37:43","1","38.00000","有效","正常","0.45600","0.45600","1097169","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-06 14:41:20","705599310-3'","O","26113825","1","38.00000","2014-11-29 10:37:43","1","38.00000","有效","正常","0.45600","0.45600","1097169","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-06 14:41:20","705599310-4'","O","26113825","1","38.00000","2015-01-28 13:24:50","0","0.00000","无效","正常","0.45600","0.0000","1097169","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-06 16:43:30","705952411-2'","O","9404521","1","85.00000","2014-11-29 10:37:43","1","85.00000","有效","正常","1.02000","1.02000","1081064","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-06 16:43:30","705952411-1'","O","9404521","1","85.00000","2014-11-29 10:37:43","1","85.00000","有效","正常","1.02000","1.02000","1081064","否"
"254","京东CPS","732204","购物客91jili","2014-10-06 17:13:09","1937424422'","0","","1","178.90000","2015-02-27 16:27:02","0","0.00000","无效","正常","3.00000","0.0000","1050308","否"
"254","京东CPS","732204","购物客91jili","2014-10-06 17:18:56","1937366731'","0","","1","178.90000","2014-11-29 10:32:50","1","178.90000","有效","正常","3.00000","3.00000","1050308","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-06 17:34:08","706148398-1'","O","25200827","1","68.00000","2014-11-29 10:37:43","1","68.00000","有效","正常","0.81600","0.81600","1240046","否"
"247","当当CPS","732204","购物客91jili","2014-10-06 22:21:39","9715421701'","出版物","","1","47.10000","2015-01-20 18:04:05","0","0.00000","无效","正常","0.94200","0.0000","1126842","否"
"247","当当CPS","732204","购物客91jili","2014-10-06 22:24:57","9715443761'","出版物","","1","47.10000","2014-12-24 11:54:09","1","47.10000","有效","正常","0.94200","0.94200","1126842","否"
"6198","大众点评CPS","732204","购物客91jili","2014-10-06 22:26:42","372800183'","A","","1","36.80000","","0","0.00000","未确认","正常","1.28800","0.0000","1067156","否"
"6198","大众点评CPS","732204","购物客91jili","2014-10-06 22:26:42","372800183'","A","12071200","1","36.80000","2014-11-29 16:12:02","1","36.80000","有效","正常","1.28800","1.28800","1067156","否"
"6198","大众点评CPS","732204","购物客91jili","2014-10-06 22:27:08","372800448'","A","","1","36.80000","","0","0.00000","未确认","正常","1.28800","0.0000","1067156","否"
"6198","大众点评CPS","732204","购物客91jili","2014-10-06 22:27:08","372800448'","A","12071155","1","36.80000","2014-11-29 16:12:02","1","36.80000","有效","正常","1.28800","1.28800","1067156","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-07 02:07:42","707129759-1'","O","26248823","1","19.80000","2014-11-29 10:37:43","1","14.80000","有效","正常","0.23760","0.17760","1086318","否"
"247","当当CPS","732204","购物客91jili","2014-10-07 10:21:58","9717083587'","出版物--$--银卡会员","","1","217.10000","2014-12-24 11:54:09","1","217.10000","有效","正常","4.34200","4.34200","1146747","否"
"247","当当CPS","732204","购物客91jili","2014-10-07 10:21:58","9717083607'","虚拟商品--$--银卡会员","","1","3.00000","2015-01-20 18:04:05","0","0.00000","无效","正常","0.01500","0.0000","1146747","否"
"247","当当CPS","732204","购物客91jili","2014-10-07 10:30:54","9717130881'","出版物","","1","17.50000","2014-12-24 11:54:09","1","17.50000","有效","正常","0.35000","0.35000","1236304","否"
"247","当当CPS","732204","购物客91jili","2014-10-07 10:30:54","9717130901'","出版物","","1","68.60000","2015-01-20 18:04:05","0","0.00000","无效","正常","1.37200","0.0000","1236304","否"
"254","京东CPS","732204","购物客91jili","2014-10-07 10:39:34","1939087201'","0","","1","59.70000","2015-02-27 16:27:02","0","0.00000","无效","正常","0.00000","0.0000","1051306","否"
"254","京东CPS","732204","购物客91jili","2014-10-07 11:51:20","1939298105'","24","","1","30.00000","2014-11-28 17:26:40","1","27.33333","有效","正常","0.27000","0.24600","1062678","否"
"139","1号店CPS","732204","购物客91jili","2014-10-07 12:33:03","1113825130325'","8060","","1","60.40000","2014-12-23 11:59:37","1","60.40000","有效","正常","1.69120","1.69120","1092787","否"
"139","1号店CPS","732204","购物客91jili","2014-10-07 13:49:10","1114466153325'","0000","","1","49.54000","2015-01-04 11:56:06","0","0.00000","无效","正常","0.00000","0.0000","1092787","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-07 15:40:02","708273930-3'","U","25795414","1","4.90000","2014-11-29 10:37:43","1","4.90000","有效","正常","0.00000","0.00000","1052474","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-07 15:40:02","708273930-2'","U","25795414","1","4.90000","2014-11-29 10:37:43","1","4.90000","有效","正常","0.00000","0.00000","1052474","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-07 15:40:02","708273930-1'","U","25795414","1","4.90000","2014-11-29 10:37:43","1","4.90000","有效","正常","0.00000","0.00000","1052474","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-07 15:40:03","708273930-3'","O","25795414","1","4.90000","2015-01-28 13:24:50","0","0.00000","无效","正常","0.05880","0.0000","1052474","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-07 15:40:03","708273930-2'","O","25795414","1","4.90000","2015-01-28 13:24:50","0","0.00000","无效","正常","0.05880","0.0000","1052474","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-07 15:40:03","708273930-1'","O","25795414","1","4.90000","2015-01-28 13:24:50","0","0.00000","无效","正常","0.05880","0.0000","1052474","否"
"254","京东CPS","732204","购物客91jili","2014-10-07 16:52:13","1940187980'","0","","1","286.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","3.00000","0.0000","1117067","否"
"254","京东CPS","732204","购物客91jili","2014-10-07 16:52:13","1940132589'","0","","1","98.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","0.00000","0.0000","1117067","否"
"254","京东CPS","732204","购物客91jili","2014-10-07 16:52:13","1940125794'","0","","1","188.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","3.00000","0.0000","1117067","否"
"254","京东CPS","732204","购物客91jili","2014-10-07 17:08:22","1940240396'","0","","1","188.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","3.00000","0.0000","1117067","否"
"254","京东CPS","732204","购物客91jili","2014-10-07 17:08:22","1940177774'","0","","1","98.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","0.00000","0.0000","1117067","否"
"254","京东CPS","732204","购物客91jili","2014-10-07 17:08:22","1940177434'","0","","1","286.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","3.00000","0.0000","1117067","否"
"254","京东CPS","732204","购物客91jili","2014-10-07 19:24:55","1940485083'","24","","1","568.00000","2014-11-28 17:26:40","1","399.33333","有效","正常","5.11200","3.59400","1098739","否"
"249","红孩子CPS","732204","购物客91jili","2014-10-07 20:41:24","2010159649'","母婴","2057937669","1","146.00000","2015-01-12 15:29:15","0","0.00000","无效","正常","2.04400","0.0000","1112382","否"
"254","京东CPS","732204","购物客91jili","2014-10-07 20:46:07","1940863316'","0","","1","79.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","0.00000","0.0000","1057989","否"
"254","京东CPS","732204","购物客91jili","2014-10-07 20:49:10","1940873488'","22","","1","198.00000","2015-02-27 16:27:02","0","0.00000","无效","正常","0.00000","0.0000","1068849","否"
"5227","聚美优品CPS","732204","购物客91jili","2014-10-07 23:50:37","153822990'","基本","","1","102.50000","2014-12-11 15:26:19","1","102.50000","有效","正常","4.92000","4.92000","1097768","否"
"6858","亚马逊返点站CPS","732204","购物客91jili","2014-10-08 00:00:00","C03-5739401-6795218'","基本","B00JKOL6KU","1","85.30000","2015-02-03 14:19:50","1","85.30000","无效","正常","0.64000","0.0000","APIMemberId","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-08 03:16:44","709404506-1'","O","26079374","1","6.80000","2015-01-28 13:24:50","0","0.00000","无效","正常","0.08160","0.0000","1064139","否"
"5402","美团网CPS","732204","购物客91jili","2014-10-08 03:16:44","709404506-1'","U","26079374","1","6.80000","2014-11-29 10:37:43","1","6.80000","有效","正常","0.00000","0.00000","1064139","否"
